nohup: ignoring input
Timesteps: 15300, Mean reward: 384.29
Timesteps: 15400, Mean reward: 494.07
Timesteps: 15500, Mean reward: 451.85
Timesteps: 15600, Mean reward: 338.16
Timesteps: 15700, Mean reward: 506.31
Timesteps: 15800, Mean reward: 220.68
Timesteps: 15900, Mean reward: 426.54
Timesteps: 16000, Mean reward: 386.85
Timesteps: 16100, Mean reward: 416.47
Timesteps: 16200, Mean reward: 435.28
Timesteps: 16300, Mean reward: 473.91
Timesteps: 16400, Mean reward: 466.59
Timesteps: 16500, Mean reward: 473.83
Timesteps: 16600, Mean reward: 470.39
Timesteps: 16700, Mean reward: 453.16
Timesteps: 16800, Mean reward: 496.02
Timesteps: 16900, Mean reward: 404.77
Timesteps: 17000, Mean reward: 541.37
Timesteps: 17100, Mean reward: 477.70
Timesteps: 17200, Mean reward: 483.33
Timesteps: 17300, Mean reward: 408.79
Timesteps: 17400, Mean reward: 410.94
Timesteps: 17500, Mean reward: 381.60
Timesteps: 17600, Mean reward: 270.40
Timesteps: 17700, Mean reward: 326.62
Timesteps: 17800, Mean reward: 338.21
Timesteps: 17900, Mean reward: 431.08
Timesteps: 18000, Mean reward: 421.55
Timesteps: 18100, Mean reward: 381.84
Timesteps: 18200, Mean reward: 395.11
Timesteps: 18300, Mean reward: 357.03
Timesteps: 18400, Mean reward: 380.41
Timesteps: 18500, Mean reward: 423.83
Timesteps: 18600, Mean reward: 362.35
Timesteps: 18700, Mean reward: 398.59
Timesteps: 18800, Mean reward: 373.07
Timesteps: 18900, Mean reward: 385.77
Timesteps: 19000, Mean reward: 441.05
Timesteps: 19100, Mean reward: 341.36
Timesteps: 19200, Mean reward: 369.78
Timesteps: 19300, Mean reward: 361.58
Timesteps: 19400, Mean reward: 429.12
Timesteps: 19500, Mean reward: 415.01
Timesteps: 19600, Mean reward: 406.91
Timesteps: 19700, Mean reward: 392.37
Timesteps: 19800, Mean reward: 345.88
Timesteps: 19900, Mean reward: 395.46
Timesteps: 20000, Mean reward: 369.03
Timesteps: 20100, Mean reward: 374.58
Timesteps: 20200, Mean reward: 366.03
Timesteps: 20300, Mean reward: 360.25
Timesteps: 20400, Mean reward: 468.66
Timesteps: 20500, Mean reward: 253.25
Timesteps: 20600, Mean reward: 525.70
Timesteps: 20700, Mean reward: 249.19
Timesteps: 20800, Mean reward: 450.90
Timesteps: 20900, Mean reward: 358.76
Timesteps: 21000, Mean reward: 391.28
Timesteps: 21100, Mean reward: 425.06
Timesteps: 21200, Mean reward: 464.91
Timesteps: 21300, Mean reward: 475.14
Timesteps: 21400, Mean reward: 471.55
Timesteps: 21500, Mean reward: 476.39
Timesteps: 21600, Mean reward: 404.42
Timesteps: 21700, Mean reward: 384.52
Timesteps: 21800, Mean reward: 562.96
Timesteps: 21900, Mean reward: 472.04
Timesteps: 22000, Mean reward: 374.20
Timesteps: 22100, Mean reward: 332.75
Timesteps: 22200, Mean reward: 356.57
Timesteps: 22300, Mean reward: 381.65
Timesteps: 22400, Mean reward: 342.78
Timesteps: 22500, Mean reward: 312.52
Timesteps: 22600, Mean reward: 349.34
Timesteps: 22700, Mean reward: 335.64
Timesteps: 22800, Mean reward: 312.81
Timesteps: 22900, Mean reward: 449.95
Timesteps: 23000, Mean reward: 376.12
Timesteps: 23100, Mean reward: 332.69
Timesteps: 23200, Mean reward: 475.55
Timesteps: 23300, Mean reward: 342.86
Timesteps: 23400, Mean reward: 342.25
Timesteps: 23500, Mean reward: 493.30
Timesteps: 23600, Mean reward: 329.69
Timesteps: 23700, Mean reward: 341.25
Timesteps: 23800, Mean reward: 510.61
Timesteps: 23900, Mean reward: 482.62
Timesteps: 24000, Mean reward: 454.73
Timesteps: 24100, Mean reward: 517.61
Timesteps: 24200, Mean reward: 579.44
Timesteps: 24300, Mean reward: 575.75
Timesteps: 24400, Mean reward: 563.27
Timesteps: 24500, Mean reward: 549.69
